#測定日時 : 2021/01/07 16:05:08
#サンプル名 : BFMO
#膜厚 [nm] : 1000
#開始電圧 [V]:-200
#最大電圧 [V] : 200
#ステップ電圧 [V] : 20
#半波長版角度 [deg] : 106.6
#偏光角角度 [deg] : 180
#開放端電圧 [V] : -7.31325215409813
#コンダクタンス [S] : 1.671785714285714E-012
#短絡電流 [A] : 1.222619047619048E-011
#電力(Voc*Isc) : 8.941321383641407E-011
#[DATA]V,I
0,1.3E-011
-200,-3.16E-010
-180,-2.85E-010
-160,-2.53E-010
-140,-2.2E-010
-120,-1.87E-010
-100,-1.54E-010
-80,-1.21E-010
-60,-8.7E-011
-40,-5.4E-011
-20,-2.1E-011
0,1.1E-011
20,4.5E-011
40,7.8E-011
60,1.12E-010
80,1.46E-010
100,1.79E-010
120,2.13E-010
140,2.46E-010
160,2.8E-010
180,3.14E-010
200,3.47E-010
