#測定日時 : 2021/01/07 15:56:15
#サンプル名 : BFMO
#膜厚 [nm] : 1000
#開始電圧 [V]:-200
#最大電圧 [V] : 200
#ステップ電圧 [V] : 20
#半波長版角度 [deg] : 27.85
#偏光角角度 [deg] : 22.5
#開放端電圧 [V] : -80.69027746447112
#コンダクタンス [S] : 2.014999999999999E-012
#短絡電流 [A] : 1.625909090909092E-010
#電力(Voc*Isc) : 1.311950556774607E-008
#[DATA]V,I
0,1.64E-010
-200,-2.36E-010
-180,-1.94E-010
-160,-1.55E-010
-140,-1.15E-010
-120,-7.4E-011
-100,-3.5E-011
-80,3E-012
-60,4.3E-011
-40,8.3E-011
-20,1.23E-010
0,1.63E-010
20,2.03E-010
40,2.43E-010
60,2.84E-010
80,3.23E-010
100,3.64E-010
120,4.04E-010
140,4.45E-010
160,4.84E-010
180,5.26E-010
200,5.66E-010
