#測定日時 : 2021/01/07 16:00:15
#サンプル名 : BFMO
#膜厚 [nm] : 1000
#開始電圧 [V]:-200
#最大電圧 [V] : 200
#ステップ電圧 [V] : 20
#半波長版角度 [deg] : 72.84999999999999
#偏光角角度 [deg] : 112.5
#開放端電圧 [V] : 69.08247630570679
#コンダクタンス [S] : 1.634835164835165E-012
#短絡電流 [A] : -1.129384615384615E-010
#電力(Voc*Isc) : 7.802068593233747E-009
#[DATA]V,I
0,-1.11E-010
-200,-4.36E-010
-180,-4.03E-010
-160,-3.71E-010
-140,-3.39E-010
-120,-3.07E-010
-100,-2.75E-010
-80,-2.43E-010
-60,-2.1E-010
-40,-1.79E-010
-20,-1.45E-010
0,-1.13E-010
20,-8E-011
40,-4.8E-011
60,-1.5E-011
80,1.7E-011
100,5E-011
120,8.2E-011
140,1.16E-010
160,1.5E-010
180,1.82E-010
200,2.14E-010
