#測定日時 : 2021/01/07 16:01:18
#サンプル名 : BFMO
#膜厚 [nm] : 1000
#開始電圧 [V]:-200
#最大電圧 [V] : 200
#ステップ電圧 [V] : 20
#半波長版角度 [deg] : 84.09999999999999
#偏光角角度 [deg] : 135
#開放端電圧 [V] : 87.04005062833379
#コンダクタンス [S] : 1.626617647058824E-012
#短絡電流 [A] : -1.415808823529412E-010
#電力(Voc*Isc) : 1.232320716800417E-008
#[DATA]V,I
0,-1.4E-010
-200,-4.63E-010
-180,-4.3E-010
-160,-3.98E-010
-140,-3.67E-010
-120,-3.36E-010
-100,-3.04E-010
-80,-2.71E-010
-60,-2.39E-010
-40,-2.07E-010
-20,-1.74E-010
0,-1.42E-010
20,-1.1E-010
40,-7.700000000000001E-011
60,-4.3E-011
80,-1.1E-011
100,2E-011
120,5.4E-011
140,8.5E-011
160,1.19E-010
180,1.52E-010
200,1.84E-010
